target;type;state;attack_type;date;description;url;target_website;website_certificate;certificate_vendor;type_of_certificate;website_quality (high medium low);month;year
"Madison County Jail, Madison County";Safety;Alabama;"Hacking, Other";3/11/2021;"GCNMarch 11th, 2021A number of police departments, prisons, schools, hospitals and major technology firms were exposed in recent cyber breachAn international attack is to blame for the infiltration into the cloud based systemsBad actors were able to gain access to over 150,000 camera systemsRead More";https://gcn.com/articles/2021/03/11/surveillance-video-hack.aspx;www.mcso-tn.org;Y;R3;sha256;low;3;2021
"Alabama Fusion Center, State of Alabama";Safety;Alabama;"Hacking, Data Breach";6/22/2020;"The Hacker NewsJune 22nd, 2020Recent blue lakes dump includes police and FBI reports, bulletin guides and more giving insight into law enforcement not commonly inaccessible by publicThe data contains over millions of files including images, documents, videos, web pages, text files, emails, auto files and moreInvestigations are looking into how many files are classified and not supposed to be publicRead More";https://thehackernews.com/2020/06/law-enforcement-data-breach.html;;;;;med;6;2020
"Selma Police Department, Selma Fire Department, & City of Selma - Dallas County";Safety;Alabama;"Unknown, Ransomware";9/3/2019;"Selma Times Journal September 3rd, 2019 When employees returned to work it was discovered that servers were devastated by this labor day attack Both the Selma Police Department and Selma Fire Department had confirmed publicly that their servers were downed Upon investigations it was thought that the ransomware may have also affected backup servers Read More";https://www.selmatimesjournal.com/2019/09/03/city-computer-system-crippled-by-cyber-attack/;;Y;Go Daddy;sha256;med;9;2019
"Dale County Sheriff’s Office, Dale County";Safety;Alabama;"Hacking, Data Breach";10/8/2018;"Dothan FirstOctober 8th, 2018Dale County Sheriff’s Office network & email system compromisedIT contacts investigated severity of incidentSheriff’s Office temporarily disabled online pistol permit portalPublic advised to monitor financial data conducted with Sheriff’s officeRead More";"https://www.dothanfirst.com/news/dale-county-sheriff-s-office-computer-network-compromised-public-should-monitor-financial-accounts/1508577220,";http://www.daleso.com/;N;NA;NA;;10;2018
City of Leeds;Safety;Alabama;Ransomware;3/1/2018;"AL.comMarch 1st, 2018Paid $12,000 in bitcoin for ransom Had trouble with decryption codes sent by hacker Leeds does not believe neighboring cities were affectedRead More";http://www.al.com/news/index.ssf/2018/03/leeds_hit_with_ransomware_atta.html;https://www.leedsalabama.org/;Y;Go Daddy;sha256;med;3;2018
Collinsville Police Department Hit by Ransomware Trojan;Safety;Alabama;Ransomware;6/24/2014;"Softpedia NewsJune 24th, 2014Read More";http://news.softpedia.com/news/Collinsville-Police-Department-Hit-by-Ransomware-Trojan-448061.shtml;NA;N;NA;NA;med;6;2014
"City of Valdez & City of Valdez Police, Valdez-Cordova Census Area";Safety;Alaska;Ransomware;7/28/2018;"Anchorage Daily NewsJuly 28th, 2018All computers and servers shut down at City of ValdezBitPaymer ransomware, identified during investigation of Mat-Su cyber-attack, infected City of Valdez City payments only accepted through in-person transactions until virus mitigatedRead More";https://www.adn.com/alaska-news/2018/07/28/another-local-government-in-alaska-valdez-has-been-knocked-offline-by-a-computer-virus/;https://www.valdezak.gov/;Y;Sectigo;sha256;med;7;2018
"Union County Sheriff’s Office, Union County";Safety;Arizona;Email System;1/10/2020;"Eldorado NewsJanuary 10th, 2020County Sheriff impersonated in email phishing cyberattackSheriff Roberts advised county citizens to disregard emails from himSheriff's Office received nearly 50 reports of fraudulent emailsRead More";https://www.eldoradonews.com/news/2020/jan/10/ucso-email-hacked-sheriff-advises-ignore-emails-hi/;https://www.unionscsheriff.com/default.asp?sec_id=180003406;Y;R3;sha256;med;1;2020
Surprise PD 911 Services Hacked by 18yr Old Man;Safety;Arizona;TDoS;10/24/2016;"Maricopa County Sheriff's OfficeOctober 24th, 2016Surprised Police Dept. flooded with hang up calls Twitter link set up to spam 911 Services Meetkumar Hiteshbhai Desai responsible for hackRead More";https://www.mcso.org/Multimedia/PressRelease/911%20Cyber%20Attack.pdf;NA;NA;NA;NA;;10;2016
"El Dorado Police Department, Union County";Safety;Arkansas;"Unknown, Ransomware";7/2/2020;"El Dorado News-TimesJuly 2nd, 2020Police department's computer systems were restored following cyberattackBad actors used ransomware, demanded bitcoin in paymentFBI assisted local law enforcement with investigationRead More";https://www.eldoradonews.com/news/2020/jul/02/epd-hit-virus-back-online-now/;https://www.countyoffice.org/el-dorado-police-department-el-dorado-ar-1b8/;Y;R3;sha256;med;7;2020
Fulton County Sheriff's Office;Safety;Arkansas;Hack;5/16/2018;"Areawide MediaMay 16th, 2018Sheriff Al Roork spoke of a security breachAttack attempts crashed computer at Sheriff's OfficeSheriff expressed concern to secure sensitive data on serverRead More";http://www.areawidenews.com/story/2513134.html;https://fcsoga.org/;Y;E1;sha384;med;5;2018
Johnson County Sheriff's Department;Safety;Arkansas;Ransomware;2/21/2018;"www.4029tv.comFebruary 21st, 2018Hackers holding sheriff's office information for ransom Hackers did not specify a price, sheriff does not intend to pay ransom Deputies writing reports by handRead More";http://www.4029tv.com/article/hacker-holds-johnson-co-sheriff-dept-computers-ransom/18631688;https://jocotxsheriff.com/;Y;R3;sha256;low;2;2018
